AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2021;octubre;CENTRO;27;23;51;26;24;29;9;189
2021;octubre;ARGANZUELA;10;5;26;9;12;21;4;87
2021;octubre;RETIRO;4;7;17;5;8;15;1;57
2021;octubre;SALAMANCA;15;13;31;5;13;18;5;100
2021;octubre;CHAMARTIN;11;5;28;10;20;9;4;87
2021;octubre;TETUAN;12;7;24;14;11;23;1;92
2021;octubre;CHAMBERI;7;7;26;10;13;15;1;79
2021;octubre;FUENCARRAL;21;2;41;6;19;21;8;118
2021;octubre;MONCLOA;13;4;32;9;12;17;9;96
2021;octubre;LATINA;16;9;36;9;15;16;5;106
2021;octubre;CARABANCHEL;23;5;32;10;20;39;4;133
2021;octubre;USERA;16;7;25;9;8;19;4;88
2021;octubre;PUENTE VALLECAS;37;8;29;16;16;22;8;136
2021;octubre;MORATALAZ;4;3;21;2;5;7;1;43
2021;octubre;CIUDAD LINEAL;17;9;33;17;14;15;2;107
2021;octubre;HORTALEZA;23;0;21;5;15;26;1;91
2021;octubre;VILLAVERDE;22;5;17;6;8;24;4;86
2021;octubre;VILLA DE VALLECAS;17;0;19;4;1;16;3;60
2021;octubre;VICALVARO;16;0;9;5;2;8;1;41
2021;octubre;SAN BLAS;15;3;39;4;12;14;5;92
2021;octubre;BARAJAS;1;1;5;1;3;6;1;18
2021;octubre;FUERA TERMINO MUNICIPAL;1;0;0;0;0;2;1;4
2021;septiembre;CENTRO;29;28;35;11;18;42;6;169
2021;septiembre;ARGANZUELA;5;4;30;7;12;19;3;80
2021;septiembre;RETIRO;7;7;20;6;16;10;1;67
2021;septiembre;SALAMANCA;9;14;45;13;21;21;0;123
2021;septiembre;CHAMARTIN;8;5;24;5;25;30;4;101
2021;septiembre;TETUAN;17;6;35;7;16;15;2;98
2021;septiembre;CHAMBERI;12;7;23;14;14;19;1;90
2021;septiembre;FUENCARRAL;25;4;32;7;21;29;0;118
2021;septiembre;MONCLOA;13;6;22;11;11;27;3;93
2021;septiembre;LATINA;19;1;33;10;20;30;0;113
2021;septiembre;CARABANCHEL;25;9;42;13;27;28;1;145
2021;septiembre;USERA;14;2;20;5;11;19;2;73
2021;septiembre;PUENTE VALLECAS;25;3;37;15;22;31;4;137
2021;septiembre;MORATALAZ;1;1;25;4;7;10;0;48
2021;septiembre;CIUDAD LINEAL;18;5;26;6;12;21;0;88
2021;septiembre;HORTALEZA;11;4;24;8;11;20;0;78
2021;septiembre;VILLAVERDE;30;2;19;17;8;13;0;89
2021;septiembre;VILLA DE VALLECAS;26;3;17;13;7;17;0;83
2021;septiembre;VICALVARO;19;3;9;3;1;8;0;43
2021;septiembre;SAN BLAS;15;1;30;4;15;11;8;84
2021;septiembre;BARAJAS;7;1;10;1;4;3;1;27
2021;agosto;CENTRO;45;7;40;23;18;44;0;177
2021;agosto;ARGANZUELA;14;4;36;13;11;16;3;97
2021;agosto;RETIRO;14;5;25;5;16;10;1;76
2021;agosto;SALAMANCA;14;5;19;15;13;19;5;90
2021;agosto;CHAMARTIN;16;2;25;12;14;9;2;80
2021;agosto;TETUAN;21;5;24;14;11;17;1;93
2021;agosto;CHAMBERI;12;7;19;13;15;17;1;84
2021;agosto;FUENCARRAL;33;1;42;9;16;17;1;119
2021;agosto;MONCLOA;21;7;19;7;14;12;2;82
2021;agosto;LATINA;46;2;48;15;21;15;1;148
2021;agosto;CARABANCHEL;28;3;35;10;23;23;1;123
2021;agosto;USERA;26;0;21;2;10;21;0;80
2021;agosto;PUENTE VALLECAS;35;3;48;7;6;27;4;130
2021;agosto;MORATALAZ;6;0;19;7;6;3;0;41
2021;agosto;CIUDAD LINEAL;25;2;31;8;19;16;0;101
2021;agosto;HORTALEZA;21;5;26;6;5;17;1;81
2021;agosto;VILLAVERDE;39;2;24;8;23;25;0;121
2021;agosto;VILLA DE VALLECAS;66;3;14;3;3;28;0;117
2021;agosto;VICALVARO;29;1;10;2;8;5;1;56
2021;agosto;SAN BLAS;20;4;40;6;11;16;0;97
2021;agosto;BARAJAS;6;1;5;1;3;7;0;23
2021;agosto;FUERA TERMINO MUNICIPAL;2;0;0;0;0;1;0;3
2021;julio;CENTRO;32;17;52;18;26;29;1;175
2021;julio;ARGANZUELA;15;2;31;9;15;16;0;88
2021;julio;RETIRO;11;4;12;6;4;13;0;50
2021;julio;SALAMANCA;13;13;22;4;16;14;2;84
2021;julio;CHAMARTIN;12;3;21;10;17;12;0;75
2021;julio;TETUAN;23;11;30;10;14;24;0;112
2021;julio;CHAMBERI;20;7;30;15;9;19;0;100
2021;julio;FUENCARRAL;51;3;30;8;22;44;3;161
2021;julio;MONCLOA;42;4;24;6;20;28;6;130
2021;julio;LATINA;40;6;41;12;17;27;1;144
2021;julio;CARABANCHEL;37;5;40;10;26;30;2;150
2021;julio;USERA;16;2;31;8;6;15;1;79
2021;julio;PUENTE VALLECAS;50;2;39;9;13;38;5;156
2021;julio;MORATALAZ;15;0;18;6;8;9;0;56
2021;julio;CIUDAD LINEAL;18;5;29;4;24;16;1;97
2021;julio;HORTALEZA;30;0;30;8;20;20;0;108
2021;julio;VILLAVERDE;57;1;30;6;5;14;1;114
2021;julio;VILLA DE VALLECAS;62;0;12;3;7;25;2;111
2021;julio;VICALVARO;28;0;11;6;3;11;1;60
2021;julio;SAN BLAS;12;1;18;6;17;11;1;66
2021;julio;BARAJAS;7;0;7;2;1;5;0;22
2021;julio;FUERA TERMINO MUNICIPAL;2;0;1;0;0;1;0;4
2021;junio;CENTRO;20;27;47;23;27;31;7;182
2021;junio;ARGANZUELA;15;10;20;7;18;17;1;88
2021;junio;RETIRO;14;6;16;5;19;14;5;79
2021;junio;SALAMANCA;16;15;21;14;26;21;3;116
2021;junio;CHAMARTIN;9;10;17;8;29;18;4;95
2021;junio;TETUAN;17;23;35;10;14;29;1;129
2021;junio;CHAMBERI;30;18;27;9;25;20;2;131
2021;junio;FUENCARRAL;17;4;38;9;28;29;1;126
2021;junio;MONCLOA;16;4;19;8;28;26;3;104
2021;junio;LATINA;33;8;36;18;31;38;4;168
2021;junio;CARABANCHEL;46;7;42;7;27;26;2;157
2021;junio;USERA;19;4;19;6;23;21;1;93
2021;junio;PUENTE VALLECAS;25;14;30;10;25;21;5;130
2021;junio;MORATALAZ;9;1;14;6;15;14;4;63
2021;junio;CIUDAD LINEAL;30;4;27;4;26;22;0;113
2021;junio;HORTALEZA;38;7;22;6;24;30;1;128
2021;junio;VILLAVERDE;66;7;16;7;24;21;4;145
2021;junio;VILLA DE VALLECAS;70;3;12;7;12;20;2;126
2021;junio;VICALVARO;23;1;14;1;6;14;2;61
2021;junio;SAN BLAS;26;4;27;7;21;15;1;101
2021;junio;BARAJAS;8;2;11;1;12;12;2;47
2021;mayo;ARGANZUELA;14;4;20;7;16;9;4;74
2021;mayo;RETIRO;17;3;15;3;17;11;3;69
